id;do_date;expire_date;comment;progress_percent;performer_id;job_id
1;2020-10-22T05:38:14;2020-10-22T03:28:29;array eco-centric;82;1;1
2;2020-10-21T10:28:25;2020-10-22T05:32:50;Assimilated Kenyan Shilling deposit;86;2;2
3;2020-10-22T01:23:44;2020-10-21T11:57:53;Peso Uruguayo Uruguay Peso en Unidades Indexadas;22;3;3
4;2020-10-21T16:41:15;2020-10-22T04:12:41;hacking;22;4;4
5;2020-10-22T02:11:33;2020-10-22T06:58:32;infrastructures;5;5;5
6;2020-10-21T20:03:54;2020-10-22T08:12:08;Savings Account;33;6;6
7;2020-10-21T21:49:14;2020-10-21T15:40:05;Rhode Island;32;7;7
8;2020-10-21T20:45:27;2020-10-22T07:01:35;Refined protocol;77;8;8
9;2020-10-21T19:26:36;2020-10-21T16:07:59;Industrial;98;9;9
10;2020-10-22T03:38:40;2020-10-21T14:13:10;program Intranet override;92;10;10
