id;title;create_date;done_date;comment;periority;creator_id
1;Armenia compelling;2020-10-21T20:43:05;2020-10-22T05:49:18;Codes specifically reserved for testing purposes Auto Loan Account Plastic;NON_SIGNIFICANT;1
2;Garden Investor;2020-10-21T15:57:15;2020-10-21T21:26:18;Ball;NON_SIGNIFICANT;2
3;Berkshire pink;2020-10-22T03:53:13;2020-10-21T22:09:50;synthesizing Practical Plastic Fish Flat;NORMAL;3
4;Compatible Incredible;2020-10-22T05:59:21;2020-10-21T20:40:42;online card Multi-channelled;IMPORTANT;4
5;Keyboard envisioneer;2020-10-21T19:46:48;2020-10-21T11:32:02;Cambridgeshire generate invoice;NON_SIGNIFICANT;5
6;help-desk;2020-10-21T09:55:37;2020-10-21T19:37:41;Integration Incredible USB;NON_SIGNIFICANT;6
7;Optimization;2020-10-21T08:55:16;2020-10-21T15:59:49;empower content-based empowering;IMPORTANT;7
8;relationships e-tailers;2020-10-21T15:40:09;2020-10-22T03:25:01;Customer green;VERY_IMPORTANT;8
9;New York Concrete Togo;2020-10-22T03:28:52;2020-10-22T06:09:55;Exclusive neutral;VERY_IMPORTANT;9
10;Lari Liberian Dollar strategy;2020-10-22T05:29:58;2020-10-22T08:06:11;B2C Outdoors silver;NON_SIGNIFICANT;10
